taxonKey,name
2753524,Lilium columbianum
5331273,Viola renifolia
2765272,Tradescantia virginiana
3875193,Ceanothus cuneatus ramulosus
2888615,Viburnum lantana
2769105,Camassia quamash breviflora
5605437,Monarda fistulosa menthifolia
3715292,Hypericum ascyron pyramidatum
6369034,Rubus arcticus stellatus
3016092,Crataegus castlegarensis
7219969,Crataegus chrysocarpa chrysocarpa
7288869,Portulaca oleracea oleracea
2752815,Erythronium americanum
2974901,Vicia grandiflora
3112670,Cirsium wheeleri
3039393,Ceanothus maritimus
5581432,Physalis cinerascens spathulifolia
2881630,Quercus marilandica marilandica
10527561,Ceanothus arcuatus
4022126,Claytonia exigua glauca
7066689,Cirsium scariosum scariosum
2879547,Quercus intricata
2873796,Acorus calamus angustatus
3016153,Crataegus pisifera
5663752,Viola epipsiloides
7282635,Cylindropuntia imbricata imbricata
3113056,Cirsium rhothophilum
2742422,Trillium flexipes
2879928,Quercus durata gabrielensis
3039379,Ceanothus thyrsiflorus
3034853,Sanicula arctopoides
2927339,Pycnanthemum curvipes
3001596,Malus ioensis
2991951,Rubus fraxinifolius
5664111,Viola canadensis scopulorum
2880125,Quercus × deamii
5652270,Fallopia cristata
5384644,Stellaria alaskana
5358798,Trifolium pratense sativum
5374657,Barbarea vulgaris vulgaris
6391461,Fallopia convolvulus
7228120,Maianthemum racemosum racemosum
6620105,Prunus serotina serotina
7225626,Hesperis matronalis matronalis
2857370,Allium cratericola
2769078,Camassia cusickii
6442184,Ribes oxyacanthoides hendersonii
2857754,Allium lacunosum micranthum
11374076,Sonchus asper asper
2986101,Ribes malvaceum
5285602,Pinus serotina
7227512,Trillium ovatum ovatum
2752896,Erythronium rostratum
2992089,Rubus multifer
3014896,Crataegus macrosperma
3640885,Eryngium yuccifolium synchaetum
2974912,Vicia floridana
3113340,Cirsium tracyi
7226601,Betula papyrifera papyrifera
2857880,Allium gooddingii
5341775,Physalis lagascae
2856261,Allium flavum
5652201,Fallopia scandens
5341471,Lycopus amplectens
3034832,Sanicula arguta
6405821,Plantago maritima juncoides
4023382,Claytonia megarhiza nivalis
5331322,Viola egglestonii
7344611,Rumex obtusifolius obtusifolius
3039319,Ceanothus americanus pitcheri
5285385,Pinus mugo
5343644,Astragalus crassicarpus cavus
9196003,Viola × cordifolia
5331225,Viola rostrata
3014468,Crataegus marshallii
5285551,Pinus flexilis
3140346,Lactuca virosa
3042312,Hesperis matronalis candida
2879053,Quercus × bushii
4274753,Phlox pilosa deamii
7289067,Athyrium filix-femina filix-femina
7095863,Ribes malvaceum malvaceum
5373368,Rapistrum rugosum
2877975,Quercus welshii
3039343,Ceanothus papillosus
10356434,Ceanothus ferrisiae
7222040,Comandra umbellata umbellata
4274472,Cirsium hydrophilum hydrophilum
2991959,Rubus uniformis
7066712,Carduus nutans nutans
2856837,Allium fimbriatum mohavense
4270333,Erythronium grandiflorum grandiflorum
2775497,Yucca glauca
6300538,Petasites frigidus palmatus
5285768,Pinus clausa
5372416,Vitis shuttleworthii
3084766,Claytonia saxosa
5372395,Vitis doaniana
4223486,Cirsium cymosum canovirens
11221717,Xanthium strumarium glabratum
3014082,Crataegus ambigua
7296405,Viola mandshurica
7258952,Rubus ulmifolius ulmifolius
3084745,Claytonia virginica
2765321,Tradescantia gigantea
5331303,Viola macloskeyi
7703405,Acer saccharum saccharum
7070874,Erythronium americanum americanum
8344892,Vaccinium microcarpum
2927118,Clinopodium acinos
4159346,Celtis laevigata texana
2855968,Allium carinatum
2974855,Vicia leucophaea
3013446,Crataegus schizophylla
8833381,Yucca filamentosa concava
3000174,Rubus wheeleri
3876275,Ceanothus perplexans
5372407,Vitis girdiana
2878124,Quercus parvula
2990801,Rubus argutus
2880074,Quercus × bebbiana
3048888,Cakile edentula harperi
4219701,Cirsium pulcherrimum aridum
7901010,Rumex obtusifolius sylvestris
2753278,Lilium superbum
6377193,Hibiscus lasiocarpos
2882818,Vaccinium uliginosum occidentale
2752847,Erythronium helenae
3013570,Crataegus macracantha
4032742,Rumex lacustris
3810234,Honckenya peploides diffusa
7127770,Primula clevelandii
2889198,Persicaria pensylvanica
2992071,Rubus flagellaris
5331351,Viola douglasii
2882960,Vaccinium crassifolium
5664750,Viola lobata integrifolia
2996929,Rubus ulmifolius
5331380,Viola stoneana
2891716,Oxalis laxa
2855825,Allium moly
