searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType
Sanicula crassicaulis tripartita,3639437,Sanicula crassicaulis tripartita,<i>Sanicula</i> <i>crassicaulis</i> var. <i>tripartita</i> (Suksd.) H.Wolff,VARIETY,Apiaceae,6720,Sanicula,3034831,Sanicula crassicaulis,3034844,88,EXACT
Vicia eriocarpa,3973495,Vicia eriocarpa,<i>Vicia</i> <i>eriocarpa</i> (Hausskn.) Halácsy,SPECIES,Fabaceae,5386,Vicia,2974751,Vicia eriocarpa,3973495,100,EXACT
Mentha × gracilis,7923052,Mentha gracilis,<i>Mentha</i> × <i>gracilis</i> Sole,SPECIES,Lamiaceae,2497,Mentha,2927173,Mentha gracilis,7923052,99,EXACT
Allium speculae,2857670,Allium speculae,<i>Allium</i> <i>speculae</i> Ownbey & Aase,SPECIES,Amaryllidaceae,7682,Allium,9624496,Allium speculae,2857670,100,EXACT
Trillium simile,2742253,Trillium simile,<i>Trillium</i> <i>simile</i> Gleason,SPECIES,Melanthiaceae,7700,Trillium,2742182,Trillium simile,2742253,100,EXACT
Ribes leptanthum,2986114,Ribes leptanthum,<i>Ribes</i> <i>leptanthum</i> A.Gray,SPECIES,Grossulariaceae,2403,Ribes,2986095,Ribes leptanthum,2986114,100,EXACT
Allium fimbriatum fimbriatum,7227618,Allium fimbriatum fimbriatum,<i>Allium</i> <i>fimbriatum</i> var. <i>fimbriatum</i>,VARIETY,Amaryllidaceae,7682,Allium,9624496,Allium fimbriatum,2856831,88,EXACT
Lomatium foeniculaceum macdougalii,6423481,Lomatium foeniculaceum macdougalii,<i>Lomatium</i> <i>foeniculaceum</i> subsp. <i>macdougalii</i> (J.M.Coult. & Rose) W.L.Theob.,SUBSPECIES,Apiaceae,6720,Lomatium,8394726,Lomatium foeniculaceum,3034267,85,EXACT
Viola chamissoniana tracheliifolia,5663658,Viola chamissoniana tracheliifolia,"<i>Viola</i> <i>chamissoniana</i> subsp. <i>tracheliifolia</i> (Ging.) W.L.Wagner, D.R.Herbst & Sohmer",SUBSPECIES,Violaceae,6631,Viola,2874237,Viola tracheliifolia,6397023,88,EXACT
Camassia quamash azurea,2769106,Camassia quamash azurea,<i>Camassia</i> <i>quamash</i> subsp. <i>azurea</i> (A.Heller) Gould,SUBSPECIES,Asparagaceae,7683,Camassia,2769068,Camassia quamash,2769084,85,EXACT
Suaeda occidentalis,3083543,Suaeda occidentalis,<i>Suaeda</i> <i>occidentalis</i> (S.Watson) S.Watson,SPECIES,Amaranthaceae,3064,Suaeda,7677792,Suaeda occidentalis,3083543,100,EXACT
Malus dasyphylla,3001561,Malus dasyphylla,<i>Malus</i> × <i>dasyphylla</i> Borkh.,SPECIES,Rosaceae,5015,Malus,3001068,Malus dasyphylla,3001561,100,EXACT
Yucca treculeana treculeana,4270195,Yucca treculeana treculeana,<i>Yucca</i> <i>treculeana</i> var. <i>treculeana</i>,VARIETY,Asparagaceae,7683,Yucca,2775496,Yucca treculeana,2775506,88,EXACT
Suaeda conferta,3083553,Suaeda conferta,<i>Suaeda</i> <i>conferta</i> (Small) I.M.Johnst.,SPECIES,Amaranthaceae,3064,Suaeda,7677792,Suaeda conferta,3083553,100,EXACT
Quercus × incomita,2879564,Quercus incomita,<i>Quercus</i> × <i>incomita</i> E.J.Palmer,SPECIES,Fagaceae,4689,Quercus,2877951,Quercus incomita,2879564,100,EXACT
Vaccinium angustifolium,2882868,Vaccinium angustifolium,<i>Vaccinium</i> <i>angustifolium</i> Aiton,SPECIES,Ericaceae,2505,Vaccinium,2882813,Vaccinium angustifolium,2882868,99,EXACT
Crataegus monogyna,9220780,Crataegus monogyna,<i>Crataegus</i> <i>monogyna</i> Jacq.,SPECIES,Rosaceae,5015,Crataegus,3013395,Crataegus monogyna,9220780,99,EXACT
Trillium chloropetalum,2742377,Trillium chloropetalum,<i>Trillium</i> <i>chloropetalum</i> (Torr.) Howell,SPECIES,Melanthiaceae,7700,Trillium,2742182,Trillium chloropetalum,2742377,100,EXACT
Ceanothus sanguineus,3039303,Ceanothus sanguineus,<i>Ceanothus</i> <i>sanguineus</i> Pursh,SPECIES,Rhamnaceae,2407,Ceanothus,3039297,Ceanothus sanguineus,3039303,99,EXACT
Ribes acerifolium,2986189,Ribes acerifolium,<i>Ribes</i> <i>acerifolium</i> Howell,SPECIES,Grossulariaceae,2403,Ribes,2986095,Ribes acerifolium,2986189,99,EXACT
Erythronium quinaultense,2752890,Erythronium quinaultense,<i>Erythronium</i> <i>quinaultense</i> G.A.Allen,SPECIES,Liliaceae,7699,Erythronium,2740136,Erythronium quinaultense,2752890,100,EXACT
Allium hyalinum,2856588,Allium hyalinum,<i>Allium</i> <i>hyalinum</i> Curran,SPECIES,Amaryllidaceae,7682,Allium,9624496,Allium hyalinum,2856588,99,EXACT
Crataegus intricata,3014211,Crataegus intricata,<i>Crataegus</i> <i>intricata</i> Lange,SPECIES,Rosaceae,5015,Crataegus,3013395,Crataegus intricata,3014211,100,EXACT
Lilium occidentale,2753475,Lilium occidentale,<i>Lilium</i> <i>occidentale</i> Purdy,SPECIES,Liliaceae,7699,Lilium,2752977,Lilium occidentale,2753475,100,EXACT
Pteridium aquilinum champlainense,5275013,Pteridium aquilinum champlainense,<i>Pteridium</i> <i>aquilinum</i> var. <i>champlainense</i> B.Boivin,VARIETY,Dennstaedtiaceae,6623,Pteridium,5275011,Pteridium aquilinum,5275012,88,EXACT
Rumex floridanus,2888969,Rumex floridanus,<i>Rumex</i> × <i>floridanus</i> Meisn.,SPECIES,Polygonaceae,2416,Rumex,2888942,Rumex floridanus,2888969,100,EXACT
