searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType,searched_sp,matched_sp,scientificName,first_of_searched,first_of_binomial,first_of_canonical
Pycnanthemum pycnanthemoides,2927362,Pycnanthemum pycnanthemoides,<i>Pycnanthemum</i> <i>pycnanthemoides</i> (Leavenw.) Fernald,SPECIES,Lamiaceae,2497.0,Pycnanthemum,2927338.0,Pycnanthemum pycnanthemoides,2927362.0,100,EXACT,2,2,Pycnanthemum pycnanthemoides,Pycnanthemum,Pycnanthemum,Pycnanthemum
Claytonia serpenticola,9358736,Claytonia serpenticola,<i>Claytonia</i> <i>serpenticola</i> Stoughton,SPECIES,Montiaceae,4898338.0,Claytonia,3084729.0,Claytonia serpenticola,9358736.0,100,EXACT,2,2,Claytonia serpenticola,Claytonia,Claytonia,Claytonia
Clinopodium menthifolium ascendens,3886463,Clinopodium menthifolium ascendens,<i>Clinopodium</i> <i>menthifolium</i> subsp. <i>ascendens</i> (Jord.) Govaerts,SUBSPECIES,Lamiaceae,2497.0,Clinopodium,2926907.0,Clinopodium menthifolium,11007246.0,88,EXACT,3,3,Clinopodium menthifolium ascendens,Clinopodium,Clinopodium,Clinopodium
Viola philippica,7296732,Viola philippica,<i>Viola</i> <i>philippica</i> Cav.,SPECIES,Violaceae,6631.0,Viola,2874237.0,Viola philippica,7296732.0,99,EXACT,2,2,Viola philippica,Viola,Viola,Viola
Viola pinetorum grisea,5665476,Viola pinetorum grisea,<i>Viola</i> <i>pinetorum</i> var. <i>grisea</i> Jeps.,VARIETY,Violaceae,6631.0,Viola,2874237.0,Viola pinetorum,5331223.0,85,EXACT,3,3,Viola pinetorum grisea,Viola,Viola,Viola
Primula pauciflora macrocarpa,5641494,Primula pauciflora macrocarpa,<i>Primula</i> <i>pauciflora</i> var. <i>macrocarpa</i> (A.Gray) A.R.Mast & Reveal,VARIETY,Primulaceae,6674.0,Dodecatheon,7597718.0,Dodecatheon pulchellum,3169253.0,88,EXACT,3,3,Primula pauciflora macrocarpa,Primula,Primula,Primula
Claytonia rubra rubra,7219457,Claytonia rubra rubra,<i>Claytonia</i> <i>rubra</i> subsp. <i>rubra</i>,SUBSPECIES,Montiaceae,4898338.0,Claytonia,3084729.0,Claytonia rubra,3084740.0,88,EXACT,3,3,Claytonia rubra rubra,Claytonia,Claytonia,Claytonia
Pedicularis canadensis fluviatilis,3725709,Pedicularis canadensis fluviatilis,<i>Pedicularis</i> <i>canadensis</i> subsp. <i>fluviatilis</i> (A.Heller) W.A.Weber,SUBSPECIES,Orobanchaceae,6651.0,Pedicularis,3171670.0,Pedicularis canadensis,3171674.0,84,EXACT,3,3,Pedicularis canadensis fluviatilis,Pedicularis,Pedicularis,Pedicularis
Eryngium yuccifolium yuccifolium,7258873,Eryngium yuccifolium yuccifolium,<i>Eryngium</i> <i>yuccifolium</i> var. <i>yuccifolium</i>,VARIETY,Apiaceae,6720.0,Eryngium,3034387.0,Eryngium yuccifolium,3034408.0,88,EXACT,3,3,Eryngium yuccifolium yuccifolium,Eryngium,Eryngium,Eryngium
Lilium pardalinum pitkinense,2753209,Lilium pardalinum pitkinense,<i>Lilium</i> <i>pardalinum</i> subsp. <i>pitkinense</i> (Beane & Vollmer) M.W.Skinner,SUBSPECIES,Liliaceae,7699.0,Lilium,2752977.0,Lilium pardalinum,2753192.0,88,EXACT,3,3,Lilium pardalinum pitkinense,Lilium,Lilium,Lilium
