searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType,searched_sp,matched_sp,scientificName,first_of_searched,first_of_binomial,first_of_canonical
Clinopodium vulgare vulgare,7306840,Clinopodium vulgare vulgare,<i>Clinopodium</i> <i>vulgare</i> subsp. <i>vulgare</i>,SUBSPECIES,Lamiaceae,2497.0,Clinopodium,2926907.0,Clinopodium vulgare,2926945.0,88,EXACT,3,3,Clinopodium vulgare vulgare,Clinopodium,Clinopodium,Clinopodium
Viola × sublanceolata,5331388,Viola sublanceolata,<i>Viola</i> × <i>sublanceolata</i> House,SPECIES,Violaceae,6631.0,Viola,2874237.0,Viola sublanceolata,5331388.0,100,EXACT,3,2,Viola sublanceolata,Viola,Viola,Viola
Cyperus esculentus macrostachyus,2716248,Cyperus esculentus macrostachyus,<i>Cyperus</i> <i>esculentus</i> var. <i>macrostachyus</i> Boeckeler,VARIETY,Cyperaceae,7708.0,Cyperus,2713455.0,Cyperus esculentus,2716226.0,84,EXACT,3,3,Cyperus esculentus macrostachyus,Cyperus,Cyperus,Cyperus
Viola tripartita,5331304,Viola tripartita,<i>Viola</i> <i>tripartita</i> Elliott,SPECIES,Violaceae,6631.0,Viola,2874237.0,Viola tripartita,5331304.0,99,EXACT,2,2,Viola tripartita,Viola,Viola,Viola
Crataegus uniflora,3015389,Crataegus uniflora,<i>Crataegus</i> <i>uniflora</i> Münchh.,SPECIES,Rosaceae,5015.0,Crataegus,3013395.0,Crataegus uniflora,3015389.0,99,EXACT,2,2,Crataegus uniflora,Crataegus,Crataegus,Crataegus
Sphaeralcea coccinea elata,3939230,Sphaeralcea coccinea elata,<i>Sphaeralcea</i> <i>coccinea</i> var. <i>elata</i> (Baker fil.) Kearney,VARIETY,Malvaceae,6685.0,Sphaeralcea,7412190.0,Sphaeralcea coccinea,3152438.0,85,EXACT,3,3,Sphaeralcea coccinea elata,Sphaeralcea,Sphaeralcea,Sphaeralcea
Physalis longifolia subglabrata,5581279,Physalis longifolia subglabrata,<i>Physalis</i> <i>longifolia</i> var. <i>subglabrata</i> (Mack. & Bush) Cronquist,VARIETY,Solanaceae,7717.0,Physalis,2928907.0,Physalis longifolia,5341818.0,88,EXACT,3,3,Physalis longifolia subglabrata,Physalis,Physalis,Physalis
Viola brittoniana,5331282,Viola brittoniana,<i>Viola</i> <i>brittoniana</i> Pollard,SPECIES,Violaceae,6631.0,Viola,2874237.0,Viola brittoniana,5331282.0,100,EXACT,2,2,Viola brittoniana,Viola,Viola,Viola
Oxalis suksdorfii,2891645,Oxalis suksdorfii,<i>Oxalis</i> <i>suksdorfii</i> Trel.,SPECIES,Oxalidaceae,6697.0,Oxalis,2891642.0,Oxalis suksdorfii,2891645.0,100,EXACT,2,2,Oxalis suksdorfii,Oxalis,Oxalis,Oxalis
Perideridia gairdneri gairdneri,7258869,Perideridia gairdneri gairdneri,<i>Perideridia</i> <i>gairdneri</i> subsp. <i>gairdneri</i>,SUBSPECIES,Apiaceae,6720.0,Perideridia,3034536.0,Perideridia gairdneri,3034543.0,88,EXACT,3,3,Perideridia gairdneri gairdneri,Perideridia,Perideridia,Perideridia
Vicia americana minor,2975207,Vicia americana minor,<i>Vicia</i> <i>americana</i> subsp. <i>minor</i> (Hook.) C.R.Gunn,SUBSPECIES,Fabaceae,5386.0,Vicia,2974751.0,Vicia americana,2975204.0,85,EXACT,3,3,Vicia americana minor,Vicia,Vicia,Vicia
Tradescantia subaspera montana,2765302,Tradescantia subaspera montana,<i>Tradescantia</i> <i>subaspera</i> var. <i>montana</i> (Shuttlew. ex Small & Vail) E.S.Anderson & Woodson,VARIETY,Commelinaceae,2763195.0,Tradescantia,2765096.0,Tradescantia subaspera,2765298.0,85,EXACT,3,3,Tradescantia subaspera montana,Tradescantia,Tradescantia,Tradescantia
Colocasia esculenta illustris,5950162,Colocasia esculenta illustris,<i>Colocasia</i> <i>esculenta</i> var. <i>illustris</i> (W.Bull) A.F.Hill,VARIETY,Araceae,6979.0,Colocasia,5330758.0,Colocasia esculenta,5330776.0,84,EXACT,3,3,Colocasia esculenta illustris,Colocasia,Colocasia,Colocasia
Viburnum carolinianum,6369877,Viburnum carolinianum,<i>Viburnum</i> <i>carolinianum</i> Ashe,SPECIES,Viburnaceae,4924416.0,Viburnum,2888580.0,Viburnum carolinianum,6369877.0,100,EXACT,2,2,Viburnum carolinianum,Viburnum,Viburnum,Viburnum
Pinus echinata,5285324,Pinus echinata,<i>Pinus</i> <i>echinata</i> Mill.,SPECIES,Pinaceae,3925.0,Pinus,2684241.0,Pinus echinata,5285324.0,99,EXACT,2,2,Pinus echinata,Pinus,Pinus,Pinus
Quercus laevis,2878626,Quercus laevis,<i>Quercus</i> <i>laevis</i> Walter,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus laevis,2878626.0,100,EXACT,2,2,Quercus laevis,Quercus,Quercus,Quercus
Stellaria dicranoides,5384673,Stellaria dicranoides,<i>Stellaria</i> <i>dicranoides</i> (Cham. & Schltdl.) Fenzl,SPECIES,Caryophyllaceae,2518.0,Stellaria,3085667.0,Stellaria dicranoides,5384673.0,100,EXACT,2,2,Stellaria dicranoides,Stellaria,Stellaria,Stellaria
Ceanothus americanus americanus,7273797,Ceanothus americanus americanus,<i>Ceanothus</i> <i>americanus</i> var. <i>americanus</i>,VARIETY,Rhamnaceae,2407.0,Ceanothus,3039297.0,Ceanothus americanus,3039318.0,88,EXACT,3,3,Ceanothus americanus americanus,Ceanothus,Ceanothus,Ceanothus
Vicia tetrasperma,2975083,Vicia tetrasperma,<i>Vicia</i> <i>tetrasperma</i> (L.) Schreb.,SPECIES,Fabaceae,5386.0,Vicia,2974751.0,Vicia tetrasperma,2975083.0,99,EXACT,2,2,Vicia tetrasperma,Vicia,Vicia,Vicia
Stellaria nitens,5384614,Stellaria nitens,<i>Stellaria</i> <i>nitens</i> Nutt.,SPECIES,Caryophyllaceae,2518.0,Stellaria,3085667.0,Stellaria nitens,5384614.0,100,EXACT,2,2,Stellaria nitens,Stellaria,Stellaria,Stellaria
Quercus hinckleyi,2880522,Quercus hinckleyi,<i>Quercus</i> <i>hinckleyi</i> C.H.Mull.,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus hinckleyi,2880522.0,100,EXACT,2,2,Quercus hinckleyi,Quercus,Quercus,Quercus
Tradescantia edwardsiana,2765210,Tradescantia edwardsiana,<i>Tradescantia</i> <i>edwardsiana</i> Tharp,SPECIES,Commelinaceae,2763195.0,Tradescantia,2765096.0,Tradescantia edwardsiana,2765210.0,100,EXACT,2,2,Tradescantia edwardsiana,Tradescantia,Tradescantia,Tradescantia
Origanum vulgare vulgare,7226093,Origanum vulgare vulgare,"<i>Origanum</i> <i>vulgare</i> subsp. <i>vulgare</i> Linnaeus, 1753",SUBSPECIES,Lamiaceae,2497.0,Origanum,2926611.0,Origanum vulgare,2926612.0,85,EXACT,3,3,Origanum vulgare vulgare,Origanum,Origanum,Origanum
Allium multibulbosum,2857976,Allium multibulbosum,<i>Allium</i> <i>multibulbosum</i> Jacq.,SPECIES,Amaryllidaceae,7682.0,Allium,9624496.0,Allium multibulbosum,2857976.0,100,EXACT,2,2,Allium multibulbosum,Allium,Allium,Allium
Quercus × beadlei,2881678,Quercus beadlei,<i>Quercus</i> × <i>beadlei</i> Trel.,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus beadlei,2881678.0,99,EXACT,3,2,Quercus beadlei,Quercus,Quercus,Quercus
Crataegus viburnifolia,3014949,Crataegus viburnifolia,<i>Crataegus</i> <i>viburnifolia</i> Sarg.,SPECIES,Rosaceae,5015.0,Crataegus,3013395.0,Crataegus mollis,3015562.0,100,EXACT,2,2,Crataegus viburnifolia,Crataegus,Crataegus,Crataegus
Smilax tamnoides,5295110,Smilax tamnoides,<i>Smilax</i> <i>tamnoides</i> L.,SPECIES,Smilacaceae,7702.0,Smilax,2740627.0,Smilax tamnoides,5295110.0,99,EXACT,2,2,Smilax tamnoides,Smilax,Smilax,Smilax
Ribes roezlii,2986198,Ribes roezlii,<i>Ribes</i> <i>roezlii</i> Regel,SPECIES,Grossulariaceae,2403.0,Ribes,2986095.0,Ribes roezlii,2986198.0,100,EXACT,2,2,Ribes roezlii,Ribes,Ribes,Ribes
Suaeda nigra,3083536,Suaeda nigra,<i>Suaeda</i> <i>nigra</i> (Raf.) J.F.Macbr.,SPECIES,Amaranthaceae,3064.0,Suaeda,7677792.0,Suaeda nigra,3083536.0,100,EXACT,2,2,Suaeda nigra,Suaeda,Suaeda,Suaeda
Erythronium multiscapideum,2752898,Erythronium multiscapideum,<i>Erythronium</i> <i>multiscapideum</i> (Kellogg) A.Nelson & P.B.Kenn.,SPECIES,Liliaceae,7699.0,Erythronium,2740136.0,Erythronium multiscapideum,2752898.0,100,EXACT,2,2,Erythronium multiscapideum,Erythronium,Erythronium,Erythronium
Rumex salicifolius,2888990,Rumex salicifolius,<i>Rumex</i> <i>salicifolius</i> Weinm.,SPECIES,Polygonaceae,2416.0,Rumex,2888942.0,Rumex salicifolius,2888990.0,99,EXACT,2,2,Rumex salicifolius,Rumex,Rumex,Rumex
Allium ampeloprasum,2856037,Allium ampeloprasum,<i>Allium</i> <i>ampeloprasum</i> L.,SPECIES,Amaryllidaceae,7682.0,Allium,9624496.0,Allium ampeloprasum,2856037.0,99,EXACT,2,2,Allium ampeloprasum,Allium,Allium,Allium
Vaccinium shastense,7936270,Vaccinium shastense,<i>Vaccinium</i> <i>shastense</i> J.K.Nelson & Lindstrand,SPECIES,Ericaceae,2505.0,Vaccinium,2882813.0,Vaccinium shastense,7936270.0,100,EXACT,2,2,Vaccinium shastense,Vaccinium,Vaccinium,Vaccinium
Zizania aquatica aquatica,7226842,Zizania aquatica aquatica,<i>Zizania</i> <i>aquatica</i> var. <i>aquatica</i>,VARIETY,Poaceae,3073.0,Zizania,2703227.0,Zizania aquatica,2703228.0,85,EXACT,3,3,Zizania aquatica aquatica,Zizania,Zizania,Zizania
Malvaviscus arboreus arboreus,6377387,Malvaviscus arboreus arboreus,<i>Malvaviscus</i> <i>arboreus</i> var. <i>arboreus</i>,VARIETY,Malvaceae,6685.0,Malvaviscus,3152774.0,Malvaviscus arboreus,3152775.0,85,EXACT,3,3,Malvaviscus arboreus arboreus,Malvaviscus,Malvaviscus,Malvaviscus
Quercus ellipsoidalis,2879276,Quercus ellipsoidalis,<i>Quercus</i> <i>ellipsoidalis</i> E.J.Hill,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus ellipsoidalis,2879276.0,100,EXACT,2,2,Quercus ellipsoidalis,Quercus,Quercus,Quercus
Acorus americanus,2873771,Acorus americanus,<i>Acorus</i> <i>americanus</i> (Raf.) Raf.,SPECIES,Acoraceae,3719.0,Acorus,2730063.0,Acorus calamus,2873769.0,100,EXACT,2,2,Acorus americanus,Acorus,Acorus,Acorus
Lycopus europaeus,5341478,Lycopus europaeus,<i>Lycopus</i> <i>europaeus</i> L.,SPECIES,Lamiaceae,2497.0,Lycopus,2927122.0,Lycopus europaeus,5341478.0,99,EXACT,2,2,Lycopus europaeus,Lycopus,Lycopus,Lycopus
Vaccinium shastense nevadense,8073365,Vaccinium shastense nevadense,<i>Vaccinium</i> <i>shastense</i> subsp. <i>nevadense</i> J.K.Nelson & Lindstrand,SUBSPECIES,Ericaceae,2505.0,Vaccinium,2882813.0,Vaccinium shastense,7936270.0,88,EXACT,3,3,Vaccinium shastense nevadense,Vaccinium,Vaccinium,Vaccinium
Pinus leiophylla chihuahuana,5285527,Pinus leiophylla chihuahuana,<i>Pinus</i> <i>leiophylla</i> var. <i>chihuahuana</i> (Engelm.) Shaw,VARIETY,Pinaceae,3925.0,Pinus,2684241.0,Pinus leiophylla,5285511.0,85,EXACT,3,3,Pinus leiophylla chihuahuana,Pinus,Pinus,Pinus
Stellaria alsine,5384606,Stellaria alsine,<i>Stellaria</i> <i>alsine</i> Grimm,SPECIES,Caryophyllaceae,2518.0,Stellaria,3085667.0,Stellaria alsine,5384606.0,99,EXACT,2,2,Stellaria alsine,Stellaria,Stellaria,Stellaria
Pycnanthemum montanum,2927355,Pycnanthemum montanum,<i>Pycnanthemum</i> <i>montanum</i> Michx.,SPECIES,Lamiaceae,2497.0,Pycnanthemum,2927338.0,Pycnanthemum montanum,2927355.0,100,EXACT,2,2,Pycnanthemum montanum,Pycnanthemum,Pycnanthemum,Pycnanthemum
Vitis rotundifolia rotundifolia,7222052,Vitis rotundifolia rotundifolia,<i>Vitis</i> <i>rotundifolia</i> var. <i>rotundifolia</i>,VARIETY,Vitaceae,6672.0,Vitis,7467468.0,Vitis rotundifolia,5372394.0,88,EXACT,3,3,Vitis rotundifolia rotundifolia,Vitis,Vitis,Vitis
Rhus virens choriophylla,3662331,Rhus virens choriophylla,<i>Rhus</i> <i>virens</i> var. <i>choriophylla</i> (Wooton & Standl.) L.D.Benson,VARIETY,Anacardiaceae,2398.0,Rhus,3190534.0,Rhus choriophylla,3662688.0,84,EXACT,3,3,Rhus virens choriophylla,Rhus,Rhus,Rhus
Viola palustris palustris,7296370,Viola palustris palustris,<i>Viola</i> <i>palustris</i> subsp. <i>palustris</i>,SUBSPECIES,Violaceae,6631.0,Viola,2874237.0,Viola palustris,5331355.0,85,EXACT,3,3,Viola palustris palustris,Viola,Viola,Viola
Viola palmata,5331370,Viola palmata,<i>Viola</i> <i>palmata</i> L.,SPECIES,Violaceae,6631.0,Viola,2874237.0,Viola palmata,5331370.0,99,EXACT,2,2,Viola palmata,Viola,Viola,Viola
Lilium michauxii,2753428,Lilium michauxii,<i>Lilium</i> <i>michauxii</i> Poir.,SPECIES,Liliaceae,7699.0,Lilium,2752977.0,Lilium michauxii,2753428.0,100,EXACT,2,2,Lilium michauxii,Lilium,Lilium,Lilium
Viburnum nitidum,3855464,Viburnum nitidum,<i>Viburnum</i> <i>nitidum</i> Aiton,SPECIES,Viburnaceae,4924416.0,Viburnum,2888580.0,Viburnum cassinoides,6369862.0,100,EXACT,2,2,Viburnum nitidum,Viburnum,Viburnum,Viburnum
Pinus californiarum,5285503,Pinus californiarum,<i>Pinus</i> <i>californiarum</i> D.K.Bailey,SPECIES,Pinaceae,3925.0,Pinus,2684241.0,Pinus monophylla,5285501.0,100,EXACT,2,2,Pinus californiarum,Pinus,Pinus,Pinus
Viburnum tinus,2888585,Viburnum tinus,<i>Viburnum</i> <i>tinus</i> L.,SPECIES,Viburnaceae,4924416.0,Viburnum,2888580.0,Viburnum tinus,2888585.0,100,EXACT,2,2,Viburnum tinus,Viburnum,Viburnum,Viburnum
Cirsium grahamii,3112858,Cirsium grahamii,<i>Cirsium</i> <i>grahamii</i> A.Gray,SPECIES,Asteraceae,3065.0,Cirsium,3112554.0,Cirsium grahamii,3112858.0,100,EXACT,2,2,Cirsium grahamii,Cirsium,Cirsium,Cirsium
Wisteria floribunda,2977323,Wisteria floribunda,<i>Wisteria</i> <i>floribunda</i> (Willd.) DC.,SPECIES,Fabaceae,5386.0,Wisteria,2977309.0,Wisteria floribunda,2977323.0,99,EXACT,2,2,Wisteria floribunda,Wisteria,Wisteria,Wisteria
Allium marvinii,2857743,Allium marvinii,<i>Allium</i> <i>marvinii</i> Davidson,SPECIES,Amaryllidaceae,7682.0,Allium,9624496.0,Allium haematochiton,2857741.0,100,EXACT,2,2,Allium marvinii,Allium,Allium,Allium
Allium keeverae,10728948,Allium keeverae,"<i>Allium</i> <i>keeverae</i> D.B.Poind., Weakley & P.J.Williams",SPECIES,Amaryllidaceae,7682.0,Allium,9624496.0,Allium keeverae,10728948.0,100,EXACT,2,2,Allium keeverae,Allium,Allium,Allium
Allium bigelovii,3698013,Allium bigelovii,<i>Allium</i> <i>bigelovii</i> S.Watson,SPECIES,Amaryllidaceae,7682.0,Allium,9624496.0,Allium bigelovii,3698013.0,100,EXACT,2,2,Allium bigelovii,Allium,Allium,Allium
Rhus aromatica simplicifolia,3660013,Rhus aromatica simplicifolia,<i>Rhus</i> <i>aromatica</i> var. <i>simplicifolia</i> (Greene) Cronquist,VARIETY,Anacardiaceae,2398.0,Rhus,3190534.0,Rhus trilobata,3190562.0,84,EXACT,3,3,Rhus aromatica simplicifolia,Rhus,Rhus,Rhus
Lilium iridollae,2753379,Lilium iridollae,<i>Lilium</i> <i>iridollae</i> M.G.Henry,SPECIES,Liliaceae,7699.0,Lilium,2752977.0,Lilium iridollae,2753379.0,100,EXACT,2,2,Lilium iridollae,Lilium,Lilium,Lilium
Claytonia umbellata,3084768,Claytonia umbellata,<i>Claytonia</i> <i>umbellata</i> S.Watson,SPECIES,Montiaceae,4898338.0,Claytonia,3084729.0,Claytonia umbellata,3084768.0,99,EXACT,2,2,Claytonia umbellata,Claytonia,Claytonia,Claytonia
Lathyrus japonicus japonicus,7258891,Lathyrus japonicus japonicus,<i>Lathyrus</i> <i>japonicus</i> var. <i>japonicus</i>,VARIETY,Fabaceae,5386.0,Lathyrus,10356062.0,Lathyrus japonicus,5356714.0,85,EXACT,3,3,Lathyrus japonicus japonicus,Lathyrus,Lathyrus,Lathyrus
Rumex violascens,2888975,Rumex violascens,<i>Rumex</i> <i>violascens</i> Rech.fil.,SPECIES,Polygonaceae,2416.0,Rumex,2888942.0,Rumex violascens,2888975.0,100,EXACT,2,2,Rumex violascens,Rumex,Rumex,Rumex
Allium bolanderi,2856194,Allium bolanderi,<i>Allium</i> <i>bolanderi</i> S.Watson,SPECIES,Amaryllidaceae,7682.0,Allium,9624496.0,Allium bolanderi,2856194.0,100,EXACT,2,2,Allium bolanderi,Allium,Allium,Allium
Caltha palustris radicans,8380066,Caltha palustris radicans,<i>Caltha</i> <i>palustris</i> var. <i>radicans</i> (T.F.Forst.) Beck,VARIETY,Ranunculaceae,2410.0,Caltha,3033282.0,Caltha palustris,5371685.0,85,EXACT,3,3,Caltha palustris radicans,Caltha,Caltha,Caltha
Crataegus austromontana,3013495,Crataegus austromontana,<i>Crataegus</i> <i>austromontana</i> Beadle,SPECIES,Rosaceae,5015.0,Crataegus,3013395.0,Crataegus austromontana,3013495.0,100,EXACT,2,2,Crataegus austromontana,Crataegus,Crataegus,Crataegus
Cercis canadensis texensis,7598605,Cercis canadensis texensis,<i>Cercis</i> <i>canadensis</i> subsp. <i>texensis</i> (S.Watson) A.E.Murray,SUBSPECIES,Fabaceae,5386.0,Cercis,2955919.0,Cercis canadensis,5353583.0,85,EXACT,3,3,Cercis canadensis texensis,Cercis,Cercis,Cercis
Ribes oxyacanthoides,2986124,Ribes oxyacanthoides,<i>Ribes</i> <i>oxyacanthoides</i> L.,SPECIES,Grossulariaceae,2403.0,Ribes,2986095.0,Ribes oxyacanthoides,2986124.0,99,EXACT,2,2,Ribes oxyacanthoides,Ribes,Ribes,Ribes
Allium amplectens,2857894,Allium amplectens,<i>Allium</i> <i>amplectens</i> Torr.,SPECIES,Amaryllidaceae,7682.0,Allium,9624496.0,Allium amplectens,2857894.0,100,EXACT,2,2,Allium amplectens,Allium,Allium,Allium
Viburnum carlcephalum,8655746,Viburnum carlcephalum,<i>Viburnum</i> × <i>carlcephalum</i> Burkwood,SPECIES,Viburnaceae,4924416.0,Viburnum,2888580.0,Viburnum carlcephalum,8655746.0,99,EXACT,2,2,Viburnum carlcephalum,Viburnum,Viburnum,Viburnum
Cirsium perplexans,3112931,Cirsium perplexans,<i>Cirsium</i> <i>perplexans</i> (Rydb.) Petr.,SPECIES,Asteraceae,3065.0,Cirsium,3112554.0,Cirsium perplexans,3112931.0,99,EXACT,2,2,Cirsium perplexans,Cirsium,Cirsium,Cirsium
Yucca recurvifolia,2775677,Yucca recurvifolia,<i>Yucca</i> <i>recurvifolia</i> Salisb.,SPECIES,Asparagaceae,7683.0,Yucca,2775496.0,Yucca gloriosa,2775619.0,100,EXACT,2,2,Yucca recurvifolia,Yucca,Yucca,Yucca
Oxalis frutescens,2891719,Oxalis frutescens,<i>Oxalis</i> <i>frutescens</i> L.,SPECIES,Oxalidaceae,6697.0,Oxalis,2891642.0,Oxalis frutescens,2891719.0,99,EXACT,2,2,Oxalis frutescens,Oxalis,Oxalis,Oxalis
Cirsium culebraense,11464819,Cirsium culebraense,<i>Cirsium</i> <i>culebraense</i> Ackerf.,SPECIES,Asteraceae,3065.0,Cirsium,3112554.0,Cirsium culebraense,11464819.0,100,EXACT,2,2,Cirsium culebraense,Cirsium,Cirsium,Cirsium
Allium howellii clokeyi,2856793,Allium howellii clokeyi,<i>Allium</i> <i>howellii</i> var. <i>clokeyi</i> Ownbey & Aase ex Traub,VARIETY,Amaryllidaceae,7682.0,Allium,9624496.0,Allium howellii,2856788.0,87,EXACT,3,3,Allium howellii clokeyi,Allium,Allium,Allium
Viola sempervirens,5331332,Viola sempervirens,<i>Viola</i> <i>sempervirens</i> Greene,SPECIES,Violaceae,6631.0,Viola,2874237.0,Viola sempervirens,5331332.0,100,EXACT,2,2,Viola sempervirens,Viola,Viola,Viola
Mentha pulegium,2927189,Mentha pulegium,<i>Mentha</i> <i>pulegium</i> L.,SPECIES,Lamiaceae,2497.0,Mentha,2927173.0,Mentha pulegium,2927189.0,99,EXACT,2,2,Mentha pulegium,Mentha,Mentha,Mentha
Quercus agrifolia agrifolia,4274897,Quercus agrifolia agrifolia,<i>Quercus</i> <i>agrifolia</i> var. <i>agrifolia</i>,VARIETY,Fagaceae,4689.0,Quercus,2877951.0,Quercus agrifolia,2880791.0,88,EXACT,3,3,Quercus agrifolia agrifolia,Quercus,Quercus,Quercus
Tradescantia reverchonii,2765250,Tradescantia reverchonii,<i>Tradescantia</i> <i>reverchonii</i> Bush,SPECIES,Commelinaceae,2763195.0,Tradescantia,2765096.0,Tradescantia reverchonii,2765250.0,100,EXACT,2,2,Tradescantia reverchonii,Tradescantia,Tradescantia,Tradescantia
Cirsium canescens,3112906,Cirsium canescens,<i>Cirsium</i> <i>canescens</i> Nutt.,SPECIES,Asteraceae,3065.0,Cirsium,3112554.0,Cirsium canescens,3112906.0,99,EXACT,2,2,Cirsium canescens,Cirsium,Cirsium,Cirsium
Vitis rotundifolia munsoniana,5659023,Vitis rotundifolia munsoniana,<i>Vitis</i> <i>rotundifolia</i> var. <i>munsoniana</i> (Simpson ex Munson) M.O.Moore,VARIETY,Vitaceae,6672.0,Vitis,7467468.0,Vitis rotundifolia,5372394.0,88,EXACT,3,3,Vitis rotundifolia munsoniana,Vitis,Vitis,Vitis
Trillium tennesseense,9254522,Trillium tennesseense,<i>Trillium</i> <i>tennesseense</i> E.E.Schill. & Floden,SPECIES,Melanthiaceae,7700.0,Trillium,2742182.0,Trillium lancifolium,2742233.0,100,EXACT,2,2,Trillium tennesseense,Trillium,Trillium,Trillium
Rumex giganteus,2889028,Rumex giganteus,<i>Rumex</i> <i>giganteus</i> Aiton,SPECIES,Polygonaceae,2416.0,Rumex,2888942.0,Rumex giganteus,2889028.0,100,EXACT,2,2,Rumex giganteus,Rumex,Rumex,Rumex
Rubus pugnax,2997648,Rubus pugnax,<i>Rubus</i> <i>pugnax</i> L.H.Bailey,SPECIES,Rosaceae,5015.0,Rubus,2988638.0,Rubus pugnax,2997648.0,100,EXACT,2,2,Rubus pugnax,Rubus,Rubus,Rubus
Wisteria frutescens,2977310,Wisteria frutescens,<i>Wisteria</i> <i>frutescens</i> (L.) Poir.,SPECIES,Fabaceae,5386.0,Wisteria,2977309.0,Wisteria frutescens,2977310.0,100,EXACT,2,2,Wisteria frutescens,Wisteria,Wisteria,Wisteria
Clinopodium brownei,2926921,Clinopodium brownei,<i>Clinopodium</i> <i>brownei</i> (Sw.) Kuntze,SPECIES,Lamiaceae,2497.0,Clinopodium,2926907.0,Clinopodium brownei,2926921.0,100,EXACT,2,2,Clinopodium brownei,Clinopodium,Clinopodium,Clinopodium
Vicia tenuifolia,2975188,Vicia tenuifolia,<i>Vicia</i> <i>tenuifolia</i> Roth,SPECIES,Fabaceae,5386.0,Vicia,2974751.0,Vicia tenuifolia,2975188.0,99,EXACT,2,2,Vicia tenuifolia,Vicia,Vicia,Vicia
Salicornia rubra,5383950,Salicornia rubra,<i>Salicornia</i> <i>rubra</i> A.Nelson,SPECIES,Amaranthaceae,3064.0,Salicornia,3083796.0,Salicornia rubra,5383950.0,100,EXACT,2,2,Salicornia rubra,Salicornia,Salicornia,Salicornia
Quercus cerris,2880580,Quercus cerris,<i>Quercus</i> <i>cerris</i> L.,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus cerris,2880580.0,99,EXACT,2,2,Quercus cerris,Quercus,Quercus,Quercus
Arctostaphylos uva-ursi leobreweri,2882591,Arctostaphylos uva-ursi leobreweri,<i>Arctostaphylos</i> <i>uva-ursi</i> var. <i>leobreweri</i> Roof,VARIETY,Ericaceae,2505.0,Arctostaphylos,2882486.0,Arctostaphylos uva-ursi,2882580.0,84,EXACT,3,3,Arctostaphylos uva-ursi leobreweri,Arctostaphylos,Arctostaphylos,Arctostaphylos
Cirsium remotifolium rivulare,4219554,Cirsium remotifolium rivulare,<i>Cirsium</i> <i>remotifolium</i> var. <i>rivulare</i> Jeps.,VARIETY,Asteraceae,3065.0,Cirsium,3112554.0,Cirsium remotifolium,3113736.0,88,EXACT,3,3,Cirsium remotifolium rivulare,Cirsium,Cirsium,Cirsium
Prunus pensylvanica pensylvanica,6560031,Prunus pensylvanica pensylvanica,<i>Prunus</i> <i>pensylvanica</i> subsp. <i>pensylvanica</i>,SUBSPECIES,Rosaceae,5015.0,Prunus,3020559.0,Prunus pensylvanica,8202030.0,84,EXACT,3,3,Prunus pensylvanica pensylvanica,Prunus,Prunus,Prunus
Lilium columbianum,2753524,Lilium columbianum,<i>Lilium</i> <i>columbianum</i> Leichtlin,SPECIES,Liliaceae,7699.0,Lilium,2752977.0,Lilium columbianum,2753524.0,99,EXACT,2,2,Lilium columbianum,Lilium,Lilium,Lilium
Viola renifolia,5331273,Viola renifolia,<i>Viola</i> <i>renifolia</i> A.Gray,SPECIES,Violaceae,6631.0,Viola,2874237.0,Viola renifolia,5331273.0,100,EXACT,2,2,Viola renifolia,Viola,Viola,Viola
Tradescantia virginiana,2765272,Tradescantia virginiana,<i>Tradescantia</i> <i>virginiana</i> L.,SPECIES,Commelinaceae,2763195.0,Tradescantia,2765096.0,Tradescantia virginiana,2765272.0,100,EXACT,2,2,Tradescantia virginiana,Tradescantia,Tradescantia,Tradescantia
Ceanothus cuneatus ramulosus,3875193,Ceanothus cuneatus ramulosus,<i>Ceanothus</i> <i>cuneatus</i> var. <i>ramulosus</i> Greene,VARIETY,Rhamnaceae,2407.0,Ceanothus,3039297.0,Ceanothus cuneatus,3039404.0,88,EXACT,3,3,Ceanothus cuneatus ramulosus,Ceanothus,Ceanothus,Ceanothus
Viburnum lantana,2888615,Viburnum lantana,<i>Viburnum</i> <i>lantana</i> L.,SPECIES,Viburnaceae,4924416.0,Viburnum,2888580.0,Viburnum lantana,2888615.0,99,EXACT,2,2,Viburnum lantana,Viburnum,Viburnum,Viburnum
Camassia quamash breviflora,2769105,Camassia quamash breviflora,<i>Camassia</i> <i>quamash</i> subsp. <i>breviflora</i> Gould,SUBSPECIES,Asparagaceae,7683.0,Camassia,2769068.0,Camassia quamash,2769084.0,85,EXACT,3,3,Camassia quamash breviflora,Camassia,Camassia,Camassia
Monarda fistulosa menthifolia,5605437,Monarda fistulosa menthifolia,<i>Monarda</i> <i>fistulosa</i> var. <i>menthifolia</i> (Graham) Fernald,VARIETY,Lamiaceae,2497.0,Monarda,2926838.0,Monarda fistulosa,5341411.0,85,EXACT,3,3,Monarda fistulosa menthifolia,Monarda,Monarda,Monarda
