searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType
Robinia pseudoacacia,5352251,Robinia pseudoacacia,<i>Robinia</i> <i>pseudoacacia</i> L.,SPECIES,Fabaceae,5386,Robinia,2952066,Robinia pseudoacacia,5352251,100,EXACT
Robinia viscosa,5352245,Robinia viscosa,<i>Robinia</i> <i>viscosa</i> Michx. ex Vent.,SPECIES,Fabaceae,5386,Robinia,2952066,Robinia viscosa,5352245,99,EXACT
Robinia hispida,5352221,Robinia hispida,<i>Robinia</i> <i>hispida</i> L.,SPECIES,Fabaceae,5386,Robinia,2952066,Robinia hispida,5352221,100,EXACT
Robinia neomexicana,5352212,Robinia neomexicana,<i>Robinia</i> <i>neomexicana</i> A.Gray,SPECIES,Fabaceae,5386,Robinia,2952066,Robinia neomexicana,5352212,100,EXACT
Tilia americana,3152042,Tilia americana,<i>Tilia</i> <i>americana</i> L.,SPECIES,Malvaceae,6685,Tilia,3152041,Tilia americana,3152042,99,EXACT
Populus tremuloides,3040215,Populus tremuloides,<i>Populus</i> <i>tremuloides</i> Michx.,SPECIES,Salicaceae,6664,Populus,3040183,Populus tremuloides,3040215,99,EXACT
Betula,9596658,Betula,<i>Betula</i> sp.,SPECIES,Betulaceae,4688,Betula,2875008,Betula,9596658,96,HIGHERRANK
Betula papyrifera,5332120,Betula papyrifera,<i>Betula</i> <i>papyrifera</i> Marshall,SPECIES,Betulaceae,4688,Betula,2875008,Betula papyrifera,5332120,99,EXACT
Betula nigra,5331532,Betula nigra,<i>Betula</i> <i>nigra</i> L.,SPECIES,Betulaceae,4688,Betula,2875008,Betula nigra,5331532,99,EXACT
Betula alleghaniensis,5331779,Betula alleghaniensis,<i>Betula</i> <i>alleghaniensis</i> Britton,SPECIES,Betulaceae,4688,Betula,2875008,Betula alleghaniensis,5331779,100,EXACT
Betula lenta,5331709,Betula lenta,<i>Betula</i> <i>lenta</i> L.,SPECIES,Betulaceae,4688,Betula,2875008,Betula lenta,5331709,99,EXACT
Acer,11599995,Acer,"<i>Acer</i> sp. Linnaeus, 1753",SPECIES,Sapindaceae,6657,Acer,3189834,Acer,11599995,98,HIGHERRANK
Acer saccharum,3189859,Acer saccharum,<i>Acer</i> <i>saccharum</i> Marshall,SPECIES,Sapindaceae,6657,Acer,3189834,Acer saccharum,3189859,100,EXACT
Acer rubrum,3189883,Acer rubrum,<i>Acer</i> <i>rubrum</i> L.,SPECIES,Sapindaceae,6657,Acer,3189834,Acer rubrum,3189883,99,EXACT
Acer saccharinum,3189837,Acer saccharinum,<i>Acer</i> <i>saccharinum</i> L.,SPECIES,Sapindaceae,6657,Acer,3189834,Acer saccharinum,3189837,99,EXACT
Acer negundo,3189866,Acer negundo,<i>Acer</i> <i>negundo</i> L.,SPECIES,Sapindaceae,6657,Acer,3189834,Acer negundo,3189866,100,EXACT
Ulmus rubra,5361867,Ulmus rubra,<i>Ulmus</i> <i>rubra</i> Muhl.,SPECIES,Ulmaceae,2382,Ulmus,2984510,Ulmus rubra,5361867,99,EXACT
Ulmus pumila,5361877,Ulmus pumila,<i>Ulmus</i> <i>pumila</i> L.,SPECIES,Ulmaceae,2382,Ulmus,2984510,Ulmus pumila,5361877,99,EXACT
Epigaea repens,2882805,Epigaea repens,<i>Epigaea</i> <i>repens</i> L.,SPECIES,Ericaceae,2505,Epigaea,2882804,Epigaea repens,2882805,100,EXACT
