searchedName,canonicalName,scientificName,rank,usageKey,match_confidence,matchType
Trapa natans,Trapa natans,Trapa natans L.,SPECIES,3188757,99,EXACT
Hydrocotyle umbellata,Hydrocotyle umbellata,Hydrocotyle umbellata L.,SPECIES,3034614,100,EXACT
Sagittaria latifolia,Sagittaria latifolia,Sagittaria latifolia Willd.,SPECIES,5328909,100,EXACT
Sagittaria rigida,Sagittaria rigida,Sagittaria rigida Pursh,SPECIES,5329027,100,EXACT
Alisma plantago-aquatica,Alisma plantago-aquatica,Alisma plantago-aquatica L.,SPECIES,2865100,100,EXACT
Brasenia schreberi,Brasenia schreberi,Brasenia schreberi J.F.Gmel.,SPECIES,2882446,100,EXACT
Nelumbo lutea,Nelumbo lutea,Nelumbo lutea (Willd.) Pers.,SPECIES,7503234,99,EXACT
Nuphar,Nuphar,Nuphar Sm.,GENUS,2882408,80,HIGHERRANK
Peltandra virginica,Peltandra virginica,Peltandra virginica (L.) Schott,SPECIES,5330182,99,EXACT
Colocasia esculenta,Colocasia esculenta,Colocasia esculenta (L.) Schott,SPECIES,5330776,100,EXACT
Eichhornia crassipes,Eichhornia crassipes,Eichhornia crassipes (Mart.) Solms,SPECIES,2765940,100,EXACT
Pontederia cordata,Pontederia cordata,Pontederia cordata L.,SPECIES,2766030,99,EXACT
Allium,Allium,"Allium spec Boiss.Following Stearn, 1882",SPECIES,11893016,97,HIGHERRANK
Allium vineale,Allium vineale,Allium vineale L.,SPECIES,7792960,99,EXACT
Allium anadence,Allium,Allium L.,GENUS,9624496,95,HIGHERRANK
Allium schoenophrasum,Allium schoenoprasum,Allium schoenoprasum L.,SPECIES,2855860,96,FUZZY
Allium sativum,Allium sativum,Allium sativum L.,SPECIES,2856681,100,EXACT
Allium canadense,Allium canadense,Allium canadense L.,SPECIES,2855611,99,EXACT
Allium textile,Allium textile,Allium textile A.Nelson & J.F.Macbr.,SPECIES,2855724,100,EXACT
Allium drummondii,Allium drummondii,Allium drummondii Regel,SPECIES,2856855,100,EXACT
Allium cernuum,Allium cernuum,Allium cernuum Roth,SPECIES,2856745,99,EXACT
Allium stellatum,Allium stellatum,Allium stellatum Nutt. ex Ker Gawl.,SPECIES,2856866,99,EXACT
Nothocalais cuspidata,Nothocalais cuspidata,Nothocalais cuspidata (Pursh) Greene,SPECIES,3130419,100,EXACT
Tragopogon,Tragopogon,Tragopogon L.,GENUS,3092408,80,HIGHERRANK
T. pratensis,Plantae,Plantae,KINGDOM,6,99,HIGHERRANK
Tradescantia,Tradescantia,Tradescantia Ruppius ex L.,GENUS,2765096,80,HIGHERRANK
Hemerocallis fulva,Hemerocallis fulva,Hemerocallis fulva (L.) L.,SPECIES,2781074,100,EXACT
Cyperus esculentus,Cyperus esculentus,Cyperus esculentus L.,SPECIES,2716226,99,EXACT
Cyperus rotundus,Cyperus rotundus,Cyperus rotundus L.,SPECIES,2714818,99,EXACT
Leucocrinum montanum,Leucocrinum montanum,Leucocrinum montanum Nutt. ex A.Gray,SPECIES,2770873,99,EXACT
