searchedName,canonicalName,scientificName,rank,usageKey,match_confidence,matchType
 Angelica archangelica,Angelica archangelica,Angelica archangelica L.,SPECIES,5371808,100,EXACT
 Aegopodium podagraria,Aegopodium podagraria,Aegopodium podagraria L.,SPECIES,3034620,100,EXACT
 Aquilegia canadensis,Aquilegia canadensis,Aquilegia canadensis L.,SPECIES,3033197,99,EXACT
 Matricaria matricarioides,Matricaria matricarioides,"Matricaria matricarioides (Less.) Porter, 1894",SPECIES,3103805,99,EXACT
 Oenanthe javanica,Oenanthe javanica,Oenanthe javanica (Blume) DC.,SPECIES,5371886,100,EXACT
 Erigenia bulbosa,Erigenia bulbosa,Erigenia bulbosa (Michx.) Nutt.,SPECIES,3034769,100,EXACT
Osmorhizo chilensis,Osmorhiza chilensis,Osmorhiza chilensis Hook. & Arn.,SPECIES,3034152,88,FUZZY
 Foeniculum vulgare,Foeniculum vulgare,Foeniculum vulgare Mill.,SPECIES,3034922,99,EXACT
 Lathyrus latifolius,Lathyrus latifolius,Lathyrus latifolius L.,SPECIES,5356517,99,EXACT
 Perideridia gairdneri,Perideridia gairdneri,Perideridia gairdneri (Hook. & Arn.) Mathias,SPECIES,3034543,100,EXACT
 Musineon divaricatum,Musineon divaricatum,Musineon divaricatum (Pursh) Nutt.,SPECIES,3034880,99,EXACT
 Fabaceae amphicarpaea,Fabaceae,Fabaceae,FAMILY,5386,96,HIGHERRANK
Torilis orvensis,Torilis,Torilis Adans.,GENUS,3034818,96,HIGHERRANK
 Doucus pusillus,Daucus pusillus,Daucus pusillus Michx.,SPECIES,3034741,87,FUZZY
 Vicia angulae,Vicia angulata,Vicia angulata Boutelou ex Willk.,SPECIES,3974244,93,FUZZY
 Chaerophyllum procumbens,Chaerophyllum procumbens,Chaerophyllum procumbens (L.) Crantz,SPECIES,3034652,100,EXACT
Erodium cicutarium,Erodium cicutarium,Erodium cicutarium (L.) L'Hér.,SPECIES,9485490,99,EXACT
 Smilax carrionifera,Smilax,Smilax L.,GENUS,2740627,96,HIGHERRANK
Melonette halicacabum,Plantae,Plantae,KINGDOM,6,99,HIGHERRANK
Fallopia inhed,Fallopia,Fallopia Adans.,GENUS,2889418,95,HIGHERRANK
 Lathyrus ochroleucus,Lathyrus ochroleucus,Lathyrus ochroleucus Hook.,SPECIES,5356371,99,EXACT
 Humulus lupulus,Humulus lupulus,Humulus lupulus L.,SPECIES,2984535,99,EXACT
 Lathyrus japonicus,Lathyrus japonicus,Lathyrus japonicus Willd.,SPECIES,5356714,100,EXACT
